No,Index,Frame,Age,Div_Age,Generation_time
,-1,512,15,-2,86
,-1,555,16,-1,54
,-1,582,17,0,
,0,603,18,,
,1,630,19,0,
,1,674,20,1,88
,1,746,21,2,144
,1,809,22,3,126
,1,831,23,4,44
,1,853,24,5,44
,1,897,25,6,88
,1,926,26,7,58
,1,949,27,8,46
,1,978,28,9,58
,1,1008,29,10,60
,1,1044,30,11,72
,1,1072,31,12,56
,1,1113,32,13,82
,1,1139,33,14,52
,1,1192,34,15,106
,,,,,
16_3,-1,25,0,-17,48
,-1,49,1,-16,116
,-1,107,2,-15,124
,-1,169,3,-14,40
,-1,189,4,-13,46
,-1,212,5,-12,76
,-1,250,6,-11,58
,-1,279,7,-10,56
,-1,307,8,-9,64
,-1,339,9,-8,44
,-1,361,10,-7,58
,-1,390,11,-6,62
,-1,421,12,-5,64
,-1,453,13,-4,82
,-1,494,14,-3,72
,-1,530,15,-2,48
,-1,554,16,-1,80
,-1,594,17,0,
,0,612,18,,
,1,648,19,0,
,1,691,20,1,86
,1,720,21,2,58
,1,770,22,3,100
,1,806,23,4,72
,1,835,24,5,58
,1,861,25,6,52
,1,887,26,7,52
,1,916,27,8,58
,1,953,28,9,74
,1,1002,29,10,98
,1,1034,30,11,64
,1,1048,31,12,28
,1,1072,32,13,48
,1,1098,33,14,52
,1,1119,34,15,42
,1,1143,35,16,48
,1,1171,36,17,56
,1,1200,37,18,58
,,,,,
17_1,-1,28,0,-15,66
,-1,61,1,-14,62
,-1,92,2,-13,100
,-1,142,3,-12,44
,-1,164,4,-11,72
,-1,200,5,-10,214
,-1,307,6,-9,42
,-1,328,7,-8,38
,-1,347,8,-7,74
,-1,384,9,-6,80
,-1,424,10,-5,34
,-1,441,11,-4,66
,-1,474,12,-3,58
,-1,503,13,-2,76
,-1,541,14,-1,66
,-1,574,15,0,
,0,615,16,,
,1,656,17,0,
,1,698,18,1,84
,1,733,19,2,70
,1,765,20,3,64
,1,793,21,4,56
,1,819,22,5,52
,1,846,23,6,54
,1,864,24,7,36
,1,884,25,8,40
,1,906,26,9,44
,1,923,27,10,34
,1,938,28,11,30
,1,954,29,12,32
,1,981,30,13,54
,1,1008,31,14,54
,1,1031,32,15,46
,1,1067,33,16,72
,1,1102,34,17,70
,1,1164,35,18,124
,1,1191,36,19,54
,,,,,
17_2,-1,30,0,-17,120
,-1,90,1,-16,62
,-1,121,2,-15,94
,-1,168,3,-14,92
,-1,214,4,-13,42
,-1,235,5,-12,50
,-1,260,6,-11,66
,-1,293,7,-10,58
,-1,322,8,-9,48
,-1,346,9,-8,64
,-1,378,10,-7,70
,-1,413,11,-6,64
,-1,445,12,-5,48
,-1,469,13,-4,70
,-1,504,14,-3,18
,-1,513,15,-2,42
,-1,534,16,-1,56
,-1,562,17,0,
,0,603,18,,
,1,647,19,0,
,1,683,20,1,72
,1,724,21,2,82
,1,766,22,3,84
,1,803,23,4,74
,1,837,24,5,68
,1,862,25,6,50
,1,881,26,7,38
,1,910,27,8,58
,1,938,28,9,56
,1,959,29,10,42
,1,996,30,11,74
,1,1036,31,12,80
,1,1056,32,13,40
,1,1087,33,14,62
,1,1123,34,15,72
,1,1145,35,16,44
,1,1166,36,17,42
,1,1181,37,18,30
,1,1202,38,19,42
,,,,,
19_1,-1,27,0,-16,68
,-1,61,1,-15,128
,-1,125,2,-14,106
,-1,178,3,-13,58
,-1,207,4,-12,106
,-1,260,5,-11,64
,-1,292,6,-10,46
,-1,315,7,-9,44
,-1,337,8,-8,64
,-1,369,9,-7,82
,-1,410,10,-6,48
,-1,434,11,-5,38
,-1,453,12,-4,68
,-1,487,13,-3,96
,-1,535,14,-2,38
,-1,554,15,-1,44
,-1,576,16,0,
,0,610,17,,
,1,630,18,0,
,1,687,19,1,114
,1,712,20,2,50
,1,754,21,3,84
,1,770,22,4,32
,1,797,23,5,54
,1,830,24,6,66
,1,894,25,7,128
,1,928,26,8,68
,1,954,27,9,52
,1,980,28,10,52
,1,1008,29,11,56
,1,1040,30,12,64
,1,1106,31,13,132
,1,1164,32,14,116
