No,Index,Frame,Age,Div_Age,Generation_time
,1,971,21,9,88
,1,1026,22,10,110
,,,,,
17_2,-1,23,0,-15,56
,-1,51,1,-14,88
,-1,95,2,-13,90
,-1,140,3,-12,90
,-1,185,4,-11,62
,-1,216,5,-10,102
,-1,267,6,-9,66
,-1,300,7,-8,60
,-1,330,8,-7,70
,-1,365,9,-6,62
,-1,396,10,-5,110
,-1,451,11,-4,70
,-1,486,12,-3,62
,-1,517,13,-2,66
,-1,550,14,-1,60
,-1,580,15,0,
,0,615,16,0,
,1,651,17,0,
,1,680,18,1,58
,1,713,19,2,66
,1,756,20,3,86
,1,806,21,4,100
,1,895,22,5,178
,1,931,23,6,72
,1,967,24,7,72
,1,1008,25,8,82
,1,1037,26,9,58
,1,1066,27,10,58
,1,1099,28,11,66
,1,1142,29,12,86
,1,1195,30,13,106
,1,1237,31,14,84
,,,,,
17_3,-1,28,0,-11,78
,-1,67,1,-10,108
,-1,121,2,-9,72
,-1,157,3,-8,78
,-1,196,4,-7,58
,-1,225,5,-6,52
,-1,251,6,-5,94
,-1,298,7,-4,92
,-1,344,8,-3,156
,-1,422,9,-2,202
,-1,523,10,-1,144
,-1,595,11,0,
,1,642,12,0,
,1,701,13,1,118
,1,738,14,2,74
,1,757,15,3,38
,1,788,16,4,62
,1,831,17,5,86
,1,904,18,6,146
,,,,,
18_1,-1,7,0,-12,90
,-1,52,1,-11,68
,-1,86,2,-10,78
,-1,125,3,-9,94
,-1,172,4,-8,90
,-1,217,5,-7,118
,-1,276,6,-6,184
,-1,368,7,-5,66
,-1,401,8,-4,102
,-1,452,9,-3,80
,-1,492,10,-2,96
,-1,540,11,-1,68
,-1,574,12,0,
,0,608,13,0,
,1,663,14,0,
,1,732,15,1,138
,1,814,16,2,164
,1,863,17,3,98
,1,919,18,4,112
,1,1046,19,5,254
,1,1073,20,6,54
,1,1113,21,7,80
,1,1134,22,8,42
,1,1174,23,9,80
,1,1218,24,10,88
,1,1278,25,11,120
,,,,,
18_2,-1,8,0,-12,136
,-1,76,1,-11,58
,-1,105,2,-10,70
,-1,140,3,-9,62
,-1,171,4,-8,60
,-1,201,5,-7,146
,-1,274,6,-6,58
,-1,303,7,-5,98
,-1,352,8,-4,128
,-1,416,9,-3,88
,-1,460,10,-2,96
,-1,508,11,-1,102
,-1,559,12,0,
,1,617,13,0,
,1,675,14,1,116
,1,726,15,2,102
,1,782,16,3,112
,1,814,17,4,64
,1,856,18,5,84
,1,910,19,6,108
,1,969,20,7,118
,1,1001,21,8,64
,1,1042,22,9,82
,1,1087,23,10,90
,,,,,
19_1,-1,21,0,-15,62
,-1,52,1,-14,62
,-1,83,2,-13,90
,-1,128,3,-12,54
,-1,155,4,-11,62
,-1,186,5,-10,52
,-1,212,6,-9,94
,-1,259,7,-8,154
,-1,336,8,-7,58
,-1,365,9,-6,42
,-1,386,10,-5,58
,-1,415,11,-4,44
,-1,437,12,-3,74
,-1,474,13,-2,120
,-1,534,14,-1,94
,-1,581,15,0,
,1,625,16,0,
,1,689,17,1,128
,1,764,18,2,150
,1,796,19,3,64
,1,828,20,4,64
,1,860,21,5,64
,1,894,22,6,68
,1,929,23,7,70
,1,980,24,8,102
,1,1030,25,9,100
,1,1101,26,10,142
,1,1143,27,11,84
,1,1191,28,12,96
,1,1224,29,13,66
,,,,,
19_2,-1,47,0,-11,98
,-1,96,1,-10,150
,-1,171,2,-9,40
,-1,191,3,-8,52
,-1,217,4,-7,58
,-1,246,5,-6,86
,-1,289,6,-5,106
